id,field_pid,field_resource_type,field_model,field_member_of,parent_id,field_weight,title,field_local_identifier,field_genre,field_edtf_date_created,field_linked_agent,field_description_long,field_extent,field_rights,field_subject,field_geographic_subject,field_preferred_citation,field_use_and_reproduction,field_physical_storage_info,field_digital_obj_uri,field_archival_obj_refid,field_archival_obj_uri,field_campus,field_repository,field_unit,field_campus_unit_repository,field_display_hints,hocr,file
smith:1000198,smith:1000198,Collection,Paged Content,,,,Washington,smith_ssc_324_r219_m004,correspondence|notes (documents)|questionnaires|reports|administrative records|constitutions,1911~/1950~,relators:cre:corporate_body:YWCA of the U.S.A.,"Documents concerning the organization, development, affiliation and program of YWCA of the U.S.A. associations in Washington. Documents are arranged alphabetically by community beginning with Centralia and ending with the Inland Empire. Visitation reports from the Inland Empire set its boundaries as west to the mountains, east to Missoula, Montana, north to Nelson, Canada, and south to Walla Walla. Advisory correspondence with regional and national leadership include progress updates, information and advice on developing an association and requests for administrative information. Administrative records such as constitutions and records of affiliation and disaffiliation trace the official status of the associations and their standing with the YWCA of the U.S.A. ",492  frames (1 partial reel),"This collection is open for use without restriction beyond the standard terms and conditions of Smith College Special Collections. However, by agreement with the YWCA of the U.S.A., microdexes known to contain financial records or personal health information (usually on job applications) were not digitized and/or not published in our online repository as part of the CLIR Digitizing Hidden Collections grant. These microdexes may still be accessed on the original microfilm, and digital files may be made available to individual researchers upon request.",Nonprofit organizations--Management|Rural women|Social action|Social service|Women--Services for|Women--Social conditions|Women--Societies and clubs|Nonprofit organizations--Finance|Leadership in women|Young Women's Christian associations--Washington|Young Women's Christian associations--Washington|Nonprofit organizations--Administration,"Spokane, Washington, United States|Centralia, Lewis, Washington, United States|Ellensburg, Kittitas, Washington, United States|Everett, Snohomish, Washington, United States|Hanford, Benton, Washington, United States|Washington, United States","Washington, Sophia Smith Collection of Women's History, MS 00324, Smith College Special Collections, Northampton, Massachusetts.","To the extent that it owns copyright, YWCA of the USA has retained copyright in its works donated to Smith College, but has has authorized Smith College Special Collections to grant permission to publish reproductions or quotations from the records on its behalf. Copyright in other items in this collection may be held by their respective creators. For reproductions of materials that are governed by fair use as defined under U. S. Copyright Law, no permission to cite or publish is required. For those few instances beyond fair use, or which may regard materials in the collection not created by YWCA of the USA, researchers are responsible for determining who may hold materials' copyrights and obtaining approval from them. Researchers do not need anything further from Smith College Special Collections to move forward with their use.","Box 3: Series 1; Series 2; Series 3, Reel 219",/repositories/2/digital_objects/3192,a07fc756a7ba4f9c21924f2aed5a3fff,/repositories/2/archival_objects/173026,Smith College,Smith College Special Collections,Sophia Smith Collection of Women's History,Sophia Smith Collection of Women's History,,,
smith:1000199,smith:1000199,Text,Page,,smith:1000198,492,Page 492,smith_ssc_324_r219_m004_492,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000199/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000199/datastream/OBJ/view
smith:1000200,smith:1000200,Text,Page,,smith:1000198,491,Page 491,smith_ssc_324_r219_m004_491,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000200/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000200/datastream/OBJ/view
smith:1000201,smith:1000201,Text,Page,,smith:1000198,490,Page 490,smith_ssc_324_r219_m004_490,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000201/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000201/datastream/OBJ/view
smith:1000202,smith:1000202,Text,Page,,smith:1000198,489,Page 489,smith_ssc_324_r219_m004_489,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000202/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000202/datastream/OBJ/view
smith:1000203,smith:1000203,Text,Page,,smith:1000198,488,Page 488,smith_ssc_324_r219_m004_488,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000203/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000203/datastream/OBJ/view
smith:1000204,smith:1000204,Text,Page,,smith:1000198,487,Page 487,smith_ssc_324_r219_m004_487,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000204/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000204/datastream/OBJ/view
smith:1000205,smith:1000205,Text,Page,,smith:1000198,486,Page 486,smith_ssc_324_r219_m004_486,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000205/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000205/datastream/OBJ/view
smith:1000206,smith:1000206,Text,Page,,smith:1000198,485,Page 485,smith_ssc_324_r219_m004_485,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000206/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000206/datastream/OBJ/view
smith:1000207,smith:1000207,Text,Page,,smith:1000198,484,Page 484,smith_ssc_324_r219_m004_484,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000207/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000207/datastream/OBJ/view
